respid,Reason for choosing third profile (Korean),Reason translated
1076,한국어 사용의 유창성,Fluency in Korean
1078,공부하는 데 많은 도움이 될 것 같다,I think they will be a great help to education
1081,국내에 적을을 더 잘할 것 같아서,Because I think they will adapt better in Korean
1085,희망직업이 간호사여서,Because they aspire to be a nurse
1086,언어때문허가,I approved them because of language
1101,이유없음,No reason
1117,농부라서,Because they are a farmer
1121,직업,Employment
1128,충분한 이민 사유가 될 것 같아서,Because I think their reason for immigration is sufficient
1130,저개발국출신,They are from an underdeveloped country
1135,취업이 보장됨,Employment is guaranteed
1139,여러 가능성을 두자는,To keep several possibilities
1146,한국어,Korean
1157,여성,Female
1162,직업적 안정성때문,Because of job security
1170,선호하지는 않는다,I do not prefer them
1177,"여성선호, 간호사 등 우리나라 부족인력에 대한 구직계획을 가진자","I prefer women and those who have plans to look for employment in sectors with a shortage of workers in our country including nurses, etc."
1183,선호 안함,I do not prefer them
1194,한국어 가능 여부와 구직자가 별로 없는 직종 종사자인지를 위주로 보았음,I considered whether they can speak Korean and if they have a job in a sector where there are few job seekers
1199,구직활동을 하고자 하는 노력이 있음.,They have made efforts to seek employment
1210,한국에 정작 적응 완료,Adapted to resettlement in Korea
1212,공부목적이여서,Because their goal is education
1215,망명을 원하는 자는 필히 허가해줘야 한다,We must approve asylum seekers no matter what
1217,구직계획이 있어서,They have employment-seeking plans
1062,한국어를 유창하게 함,They can speak Korean fluently
1222,같은 민족이 좋아요,I like ethnic Koreans
1232,언어 소통이 가능하므로..,Because they can communicate in Korean...
1233,직무에 적합할 것 같다. 이질감이 없다.,I think they will be appropriate for the job. No sense of difference.
1234,가장 무난해 보였다,Seemed like the easiest choice
1236,의사이므로,Because they are a doctor
1249,같은민족,They are also ethnically Korean
1262,동포,Ethnic Korean
1267,한국어를 잘 함,They can speak Korean well
1272,도움이 되어서,They will be helpful
1275,"역사적, 정치적 충돌이 덜함","Less clash in terms of history, politics"
1279,별문제가 되지않을것같아서,Because I don’t think they will be very problematic
1282,동남아 이민자가 더 호감이 가고 북아메리카 이민자에 대한 거부감,I prefer immigrants from Southeast Asia but not immigrants from North Korea
1285,확실한 직업과 한국어를 할려는 노력,They have a definite job and have made efforts to learn the language
1287,우리나라에 기여할 것 같아서,Because I think they will contribute to our country
1290,한국어를 유창하게 잘하므로,Because they can speak Korean fluently
1292,일본인은 좀 난해한거 같아서,Because the Japanese person will be difficult
1296,나라에 따라 달라짐,It will be different depending on the country
1303,이민 자격이 더 있는 거 같다,I think this person is more qualified to immigrate
1308,정착가능성여부,Whether they will be able to settle
1309,"국적, 직업이 호감이 가고 언어가 유창하여","I like their nationality, occupation better and their Korean is fluent"
1310,인류애,Humanity
1311,동포라서 선호함,I prefer them because they are ethnic Korean
1315,입국 이유가 분명한 편이고 한국어를 사용할 줄 알아서,Their reason for immigrating is clear and they know how to uses Korean
1321,문화정서적으로통하고 국민성이비슷면이있어서 이주후에 적응이 빠를것같다,"Cultural and emotional aspects are similar, and they will likely adapt faster after immigrating"
1322,두 이민자 분 중에 선택하기 어려웠다 한국어를 유창하게 한다는 점에서 중국분에게 점수를 줬지만 베트남 분은 간호사이며 취업의지가 있다는 점에서 선택하기 어려웠다 언어적인 측면 또한 국가 와의 관계를 생각했다,"It was difficult to chose between these two immigrants. I gave points to the Chinese person because they can speak Korean fluently, but the Vietnamese person is a doctor and was willing to work so it was difficult to chose. I considered the language aspect and diplomatic relations."
1328,취업문이 좁은 우리나라 일자리 줄어들어 더힘들지 않을까 염려되는 마음,I worry that jobs will decrease in our country where it is already difficult to find work making it more difficult
1329,한국말을 할줄 알아서 소통이 잘될거 같음.,I think they will be able to communicate well because they can speak Korean
1334,딱히 선호하진 않지만 보기중에서 선택한 사항임,"I don’t particularly like them, but I chose among the options"
1339,계약을 완료했으니까,Because they entered a contract
1348,직업유무,Occupation
1359,"한국어 잘함, 취업계획이 있음","Can speak Korean well, and has employment plans"
1371,신뢰,Reliability
1375,한국어구사능력,Korean language ability
1383,상황이 이민이 더 필요한 경우,I think their conditions make their immigration more urgent
1384,국적,Nationality
1386,둘다 싫었습니다,I didn’t like either
1393,동포는 도와야 한다,We must help ethnic Koreans
1402,한국어 사용이 유창하기 때문에,Because they can speak Korean fluently
1411,의사,Doctor
1423,특별한 이유는 없음,No special reason
1428,같은 동포라서,Because they are ethnic Korean
1431,같은 민족이라서,Because they are ethnic Korean like us
1432,좋아서,Good
1434,동족,Same ethnicity
1436,좋아서,Good
1444,한국어 가능,They can speak Korean
1456,0,0
1457,안전,Safety
1463,신원의 확실성,Their identity is certain
1464,취업 동포,"Employment, ethnic Korean"
1467,농촌인부 부족,There is a shortage of workers in agriculture
1470,기술직은 한국 기술및 경제발전에 도움이 될 가능성이 있음,Engineers may be able to help Korea's technological and economic development.
1472,직업이 확실하고 북한인이여서,They have a definite job and they are from North Korea
1498,언어의 유창성,Language fluency
1507,한민족,Ethnic Korean
1509,북한 사람 이어서,Because they are North Korean
1517,적합한 자격,Appropriate qualifications
1549,망명이나 공부를 위해 우리나라에 찾아와 구직계획까지 세워있어서,They came to our country to seek asylum or for educational purposes and have plans to find employment
1551,우리 나라를 원하고 있기에 했읍니다,Because they want to come to our country
1553,"인권존중,자유롭게살권리존중","Respect for human rights, respect for the right to live freely"
1558,더끌린쪽에투표함,I voted for the candidate I was more drawn to
1567,교사라는 직업이 마음에 든다,I like their occupation as a teacher
1569,없음,None
1577,별 이유 없음,No special reason
1578,미국이니까,Because they are from the US
1586,한국어에 능통하다,They are fluent in Korean
1589,마음이 더 끌린다,I was drawn to them more
1592,신청자1보다는 이주의 필요성이 더 높은 것 같아서,Because I though their need to immigrate was greater than Applicant 1
1602,교사로써 계약이 되어있으므로 구직이 바로 되어 나라에 도움이 될 것이다.,They are a teacher and can work right away because they entered into a contract already. I think they will be helpful for the country.
1610,대한민국에 대한 언어를 습득할려고 하는 노력과 직업을 구했다는,Because they tried to learn the language and found work
1613,선호하진 않는다 다만 중국인이 호감이 안가서,I don’t prefer them but I chose them because I didn’t get a good feeling towards the Chinese person
1624,같은 동포이기때문.,Because they are an ethnic Korean
1632,재정착이고 단기근무가 아니기 대문,"They are resettling, not coming for short-term work"
1637,선호한다기보다 그나마 나은상황,I don’t really prefer them--their conditions are a little better
1638,학업의 중요성,Education is important
1057,좀 더 편한 상대,They are more comfortable for me
1653,인도적인 차원에서,From a humanitarian perspective
1660,그냥,Just because
1662,아무래도 동포가 가까워서,The ethnic Korean candidate will be more familiar
1669,확실한 직업을 소지한자,The person who has a definite job
1687,교사라서,Because they are a teacher
1690,배트남 이민자에 대한 좋은 이미지,I have a good image of Vietnamese immigrants
1693,사회보탬,Social contribution
1698,선호하는 국가임,This is a country I prefer
1704,능력,Ability
1706,객관적으로 생각을하면 그냥 제3국에 정착을 한다는것은 이해하기가 어렵다. 자국을 탈피하여 3국에서 직업을 찾는다든가 또 공부를 목적으로 온다면 가능하겠지만.... 현재 우리나라 사정을 고려한다면 유학또는 공부를 핑계로 입국하여서 기간이 지나면 불법체류자가 되는 현실이 안타깝기 때문에 또 이런 분류의 사람들로 인하여 내국인의 국내 고용상황이 어려워지기 때문이다.,"When you think objectively, it is difficult to understand resettling in a third country. It may be possible if they are seeking work or education in a third country... However, if we consider the situation in South Korea, there are people who come into our country stating that they are here to study but become illegal residents after some time. Also, it has become more difficult for locals to find work because of such people."
1709,인도적,Humanitarian
1716,우리의 동포이고 유창한 한국말을 구사할줄 알기때문에 더 선호합니다.,They are ethnically Korean and can speak Korean fluently so I prefer them more.
1738,산업 발전에 도울 될 것 같음,Because I think they will be helpful to industrial development
1736,확실한 신원보장,Their identity definite
1740,그냥,Just because
1748,한국어를 할줄암.,They can speak Korean
1764,비밀,Secret
1770,..,..
1779,동포이고 기술도 가지고 있으므로,They are ethnically Korean and have skills
1781,소통이 될 것 같아서,Because they can communicate
1783,ㄴ,
1789,같은동포라서,Because they are also ethnically Korean
1791,"민족성,우호국가","Ethnicity, ally country"
1807,동질감과 노력하는 모습,"Sense of kinship, and their efforts"
1812,민족주의,Nationalism
1817,특별한 이유 없다,No special reason
1819,신뢰,Reliability
1824,한국에서는 간호사가 조금 더 이민을 하는데 쉬울거 같아서,"In Korea, it will be easier for nurses to immigrate"
957,구직계획이 확실하냐를 우선으로 했음,I considered whether they have clear employment seeking plans first
1827,직업이 분명해서 불법체류가 될 확률이 적을거 같다,I think there is little chance that they will become an illegal resident because they have a sure job
1840,각국의 경제력 인식,Recognition of economic power of each country
1872,한국어 능력,Ability to speak Korean
1874,"고용주와 계약이 되었고, 한국에서 살려고 하는 의도가 확실하기 때문","They have entered into a contract with an employer, and they have clear intent to live in Korea"
1881,북한 주민은 우리 동포이니까,North Koreans are ethnically Korean
1892,동포,Ethnic Korean
1903,그게 좋아보여서,It looks good
1904,dma,
1911,동포니까,Because they are ethnic Korean
1926,한국사회에 피해를 끼칠 우려가 적고 사회에 잘 융화되어 살 수 있을 것 같다,There is little chance that they will be harmful in Korean society and I think they will integrate well into society and live well
1928,유창한 한국어 구사,Fluent Korean
1932,한국에 적응할 의지가 있는지 여부,Whether they are willing to adapt in Korea
1935,직업 및 취업계획,Occupation and employment plans
1966,국적과 희망직업이 안전한 이민자 같다,I think their nationality and desired occupation is safe
1971,기술직,Engineer
1985,더 신뢰가 가는 인물같아서,Because they seem more trustworthy
1998,인간은 평등하고 어느나라에서나 살 수 있는 권리가 있기 때문에,Because humans are equal and have the right to live in any country
2004,그냥,Just because
2010,그냥,Just because
2011,위화감이 덜 느껴져서,I feel less uncomfortable
2023,ㄴㅇㄹ호,
2046,특별한 이유없음,No special reason
2051,여성이며 동포임,They are female and is ethnic Korean
2062,무무무,
2074,미국 국적이라,Because they are American
2076,이미 한국인 고용주와 계약이 되어 있어서 더 안정적으로 정착할 것 같다.,I think their settlement will be more stable because they have already entered into a contract with a Korean employer
2078,같은 민족으로 동조화 쉬움.,It will be easy for them to integrate as they are ethnically Korean
2081,그걸선호해서,Because I prefer this
2087,국내에 필요한 인력이라고 생각한다,I think their occupation is required in Korea
2088,신원확인의 용이함,Ease of identification
2089,국적,Nationality
2091,언어소통에별문제사없으메취업되어우리나라에정착하는데문제가최소할것같음,They don’t have much problem communicating and they will have little issue finding a job and settling Korea
2092,민족정서 고려,I considered ethnic sentiment
2095,언어 소통 가능한점,Because they can communicate in Korean...
2096,특별히 선호하는것 보다 이민을 허가하는 편임,"I don’t particularly prefer them, but I approve their immigration"
2097,북한사람만 아니면 됨 중국이나 베트남도 선호하지 않지만 북한사람은 더더욱 싫음,"As long as they are not North Korean. I don’t like Chinese or Vietnamese either, but I don’t like North Koreans even more."
2098,"직업종류에따라 선택하고, 나라 이미지에 선택했음",I chose based on type of occupation and country image
2100,직업(연구과학자),Occupation (science researcher)
2101,분단된 우리민족이므로,Because they are ethnic Koreans who have been separated
2104,고용주와 계약되어 있어,Because they entered into a contract with an employer
2105,직업이 의사여서,Because they are a doctor
2107,한국어를 할줄아는 사람.,Because they can speak Korean
2111,망명이고 고용계약이 완료됨,They are seeking asylum and have entered into an employment contract
2114,북이 싫어 망명했으며 미래사회에 적응하기 쉬운 컴퓨터프로그래머로서 정착이 쉬울것 같다,"They are seeking asylum because the don’t like Korea. They are a computer programmer, which will make it easy for them to adapt to society in the future. I think resettling will be easy for them."
2113,이민준비가 되어 있어서.,They are prepared to immigrate.
2112,한국 사회에 적응이 가능하고 국가에 듣이됨,They will be able to adapt to Korean society and will be helpful to the country
2118,일하면세금내니깐요,Because they work and pay taxes
2120,동포란 점이 이민자 허가의 중요한 요인입니다,The fact that they are ethnically Korean is a key factor to their immigration approval
2121,한국에 위협이 되는 대상은 제외했다 잘 적응 가능한 한국어 능통자 또는 한국어를 구사하기 위해 노력하는 자 선택,I excluded candidates who would be harmful to Korea. I selected the candidate who is proficient in Korean and will likely adjust well or who is trying to learn Korean.
2122,그냥싫으니깐,I just did not like them
2123,예맨보다 나을거같다,I think they will be better than the person from Yemen
2124,마음에 들어서,I liked them
2125,"조금이라도 한국어 사용, 공부","Ability to use even a little bit of Korean, education"
2129,특별히 없어요,No special reason
2130,우리나라 근로자의 이익을 침해하지 않는 선에서 근무할 수 있다고 생각함,I think they will be able to work here without harming Korean workers’ benefits
2131,1번 후보는 북한 출신임에도 불구하고 한국말을 하지 못하는 이유가 석연치 않음,I'm not sure why candidate No.1 can’t speak Korean even though they are from North Korea
2132,"취업은 자유로울 수 있으나, 망명은 신중하게 받아들여야함","Employment may be free, but asylum seekers must be accepted cautiously"
2134,같은민족,They are also ethnically Korean
2135,고학력자,High level of education
2137,좋아서,Good
2138,학력이 좋다,Good educational background
2139,우리나라에 필요한사람,They are needed in our country
2140,국가의 이미지로 판단하였음,I made my decision based on countries’ images
2143,이민의 뜻이 확고한 것 같다,I think the meaning of immigration is fixed
2147,국적차이 때문,Because of the differences in nationality
2148,망명자 우선적 배려 필요,We must consider asylum seekers first
2149,출신국가,Country of origin
2150,전문직이라 신뢰가 높아서,They have a professional occupation so they seemed more reliable
2151,구직채용계약이 되어있고 동포이므로,They have entered into an employment contract and is ethnic Korean
2154,북한과는 관계개선후 차후로,After improving relations with North Korea
2155,별 차이는 없다,No great difference between them
2157,친근해서,Familiarity
2162,호감이가서,Seems interesting
2163,여성이라서,Female
2167,상대적으로 선택하지 않은 후보자보다 호감이 가서,Seemed more interesting than the candidate that was not selected
2170,구직활동,Looking for work
2174,정확한 사유가 필요함,Need a precise reason
2175,적응을 잘 할 것 같아서,Likely to adapt well
2180,없다,None
2184,친근한 느낌이 들어서,Got a familiar feeling
2186,모든 인종에 대해 포용하는 것이 바람직해서,Tolerance of all races is desirable
2189,자국에서의 적응 능력,Ability to adapt in the country
2194,없음,None
2197,기술,Technical skill
2202,없음,None
2204,직장이 정해졌으므로.,Job is already decided
2212,취업이 완료되어,Has a job already
2219,더 나아 보여서,Seemed better
2220,이유없음,No reason
2224,사회의 일원으로 도움이 될것같다,Helpful as a member of the society
2229,같은 민족 동포라서 잘 어룰릴 것,Same ethnic Korean so will match well
2234,착하고 성실할 것같다.,Seems kind and sincere
2235,조건이 더 좋아서,Better conditions
2243,곧 정착할수 있을 것 같아서,Will probably settle soon
2245,고용확정,Has employment
2260,비슷,Similar
2273,정착이 안정적일것같다,Will settle safely
2280,선진국 사람이라,From a developed country
2299,"방금선택한 후보가 북한사람 아니었던가요? 북한사람이면, 지금 언어가 잘 통하지 않아도, 북한은 우리랑 같은민족이므로, 언어,성별등 다른 조건이 불리해도, 다른 나라사람보다 우선시되었음합니다.","The candidate I just chose was a North Korean, no? If it is a North Korean, even if we can't communicate well now, North Korea is the same ethnic nation as us, and even if other conditions such as language, gender etc. are not favorable, still preferable to other countries."
2315,위험하지 않을거 같아서,Probably not dangerous
2316,선택하고싶어서 햇습니다,"I wanted to chose it, so I did"
2341,취업 완료 상태 때문에,Already has a job
2343,실력이 더 좋다,More capable
2353,일본적대감 북한동포애,Anti-Japanese hostility [and] North Korean ethnic fraternity
2357,구직과 언어 모두 준비를 성실히 한것같아서,Has prepared everything sincerely; work and language
2363,미국 여성이라 안전할것 같아서,Is an American woman so seems safe
2364,거짓없이 기록한 것 같아서,Doesn't seem to have lied
2372,아시아인이라 한국인 정서가 비슷해서 문제 될게 없다.,No problems because person is Asian so has similar emotions as Koreans.
2377,내국인들이 가장 힘들어하는 부분이여서입니다,Because this is the hardest work for locals to do
2380,저임금,Low wages
2404,동포,Ethnic Korean
2407,그냥,Just because
2409,농촌일손 부족,Lack of workers in rural areas
2762,특별히 선호하지 않음,No special preference
2787,이유없습,No reason
2815,선택지가 좁다,Not many options
2817,정착에 필요한 언어 습득 및 구직 계획 등,"Has the language needed for settlement, and plans to seek work."
2818,우리나라에서 살고 싶어하고 어느 정도 자격 요건도 갖추고 있으므로,"Wants to live in our country, and does to some degreee meet the required qualifications"
2822,같은 민족인 이유도 있고 중국인은 좋은 이미지가 아니어서 북한 선택,Chose North Korea partly because we are the same nation; and because Chinese people don't have a good image.
2823,우리에게 도움이 될 수 있을 것 같다.,It seems like this person could be of help to us.
2913,특별한 이유는 없음,No particular reason.
2920,없네요,I don't have one.
2937,우리나라에 이득이 될 것 같아서...,Because [he or she] seems likely to be of benefit to our country.
2939,두명은 보육교사로 오는 것에 대해서 현재 한국에서 근무하는 보육교사들의 이미지로 인해 자녀를 맡기기 어려울 것 같고 다른 한명은 농부로써 현재 농촌에 일손이 부족하여서 선호하게 되었음,"On two of them coming as early childhood educators; due to the image of early childhood educators working in Korea now, it would probably be difficult [for people] to leave their sons and daughters with them. The other person was preferred as a farmer, becasue there is a lack of labor in farming areas."
3023,학업적으로 높기때문에,High scholastic achievement.
3029,한국어 사용,Korean usage.
3039,신분 및 목적이 확실하며 국익에 도움이 될꺼라 판단됨,"Judgement that their status and goal are clear, and they will be of help to the national interest."
3050,면접까지 통과되었기 때문에,Because they had passed an interview.
